"tipo_Plan","entidad_promotora","conjunto","modalidad_captura","especies_objetivo","zona_Trabajo","dias_maximos","epoca_Trabajo","puntos_control","zonas_trabajo_detallada","ide_plan_explotación",
"AAUT","C.P. Cariño","F","A pé;","CTG, CTS, CLJ, COC, RAE, OYG,","Autorizacións da confraría de Cariño (marxe esquerda da ría de Ortigueira) entre punta Figueiroa e punta Leixa,","100; LonV: 30;","De xaneiro a decembro,; LonV: de xullo a setembro,;","Punta Figueroa, punta Sismundi, peirao de Sismundi, Macelos, punta Promontorio, punta Fornelos,"," -Área de Figueroa-Sismundi: Altos da Caleira (CL-080), Novela (CL-064), O Forno-Sismundi (CL-061), (CL-062), Pena Redonda (CL-060),; -Área de Feás: Cascabellal-Macelos (CL-079), Puntal (CL-077), Meá (CL-078), O Pino (enseada de Esteiro) (CL-216),; -Área de Fornelos: Poza da Xelfa (CL-074), Saiña (CL-073), Petón (CL-075), Puntal de punta Leixa e Arnela (CL-076),;","2017011"
"AAUT","C.P. Cedeira","F","A pé;","COC, CTG, PEE,","Enseada de Esteiro, enseada de Pantín,","208","De xaneiro a decembro,","O Cubilote na enseada de Esteiro, O Alfunil na enseada de Pantín, a Casa do Pescador en Cedeira,","Enseada de Esteiro (CL-048), (CL-053), enseada de Pantín (CL-047), zonas de libre marisqueo da enseada de Esteiro (CL-2014),","2017012"
"AAUT","C.P. Espasante","F","A pé;","CTG, CTS, CLJ, COC, RAE, PEE, LPZ, OYF, OYG,","Desde o sur peirao de Ortigueira-punta do Pinar- punta Pedrouselo; peirao de Ortigueira-punta Mouras-punta Canteira-punta Cabalar-praia San Martín; entre peirao de Ortigueira e punta Gándara e a enseada de Ladrido, entre Pena de Foz e Pena de San Pedro,","150","De xaneiro a decembro,","Peiraos de Ortigueira, Ladrido, Cano de Cabalar, Lagarea,","Praia Cabalar (CL-029), Cano Cabalar (CL-030), Mexilloal (CL-031), Raias I (CL-032), Raias II (CL-033), Raias III (CL-034), Senra (CL-036), Cano Central (CL-037), Cano Cabalar (LV) (CL-038), Lagarea (CL-090), Ladrido (CL-092),","2017013"
"AAUT","C.P. Ferrol, C.P. Barallobre, (plan conxunto)","T","A pé; Embarcación;","CTS, CTG, CLJ, COC, VEV, DSX, OYF,","As Pías interna: delimitada pola liña imaxinaria que une o extremo oeste co extremo leste da ponte das Pías cara ao interior da ría, agás a enseada da Gándara,; As Pías externa: delimitada entre a liña imaxinaria que une o extremo oeste co extremo leste da ponte das Pías e a liña imaxinaria que une o extremo leste da ponte das Pías coa punta do Montón, Zona delimitada entre a liña imaxinaria que une o extremo leste da ponte das Pías coa punta do Montón e a liña imaxinaria que une o peirao de Caranza co peirao de Astano,; Autorización enseada Cabana-A Malata,;","180","As Pías interna: de xaneiro a maio, de outubro a decembro,; Resto zonas: de maio a novembro,;","Zonas de extracción, lonxa de Ferrol, lonxa de Barallobre,","Autorización das Pías (CF-143), (CF-144), (CF-145),: -As Pías interna, delimitada entre a liña imaxinaria que une o extremo oeste co extremo leste da ponte das Pías cara ao interior da ría, agás a enseada da Gándara (GAL 03/08-2); -As Pías externa, delimitada entre a liña imaxinaria que une o extremo oeste co extremo leste da ponte das Pías e a liña imaxinaria que une o extremo leste da ponte de As Pías coa punta de O Montón (GAL 03/08-1); -Autorización enseada Cabana-Malata (CF-136),; -Zona de libre marisqueo, delimitada entre a liña imaxinaria que une o extremo leste da ponte de As Pías coa punta de O Montón e a liña imaxinaria que une o peirao da praia de Caranza co peirao de Astano (GAL 03/08-1);","2017014"
"AAUT","C.P. Ferrol","F","A pé;","CTG, CTS, CLJ, COC, OYF, EQK,","San Felipe, enseada de Cabana-A Malata, praia de Caranza-Montón, de punta Cornida á ponte do tren (entre o banco das Pías e a liña de costa), praia da Graña, entre a cetaria de San Felipe e punta Vispón e enseada de Laxe entre punta das Vellas, o castelo de San Felipe,","180","De xaneiro a decembro,","Zona de extracción, Lonxa de Ferrol,","San Felipe (CF-112), enseada de Cabana-Malata (CF-113), praia de Caranza-Montón, O Couto (de punta Cornida á ponte do tren, entre o banco de As Pías e a liña de costa), praia da Graña, entre a cetaria de San Felipe e punta Vispón e enseada de Laxe entre punta das Vellas e o castelo de san Felipe;","2017015"
"AAUT","C.P. Miño","F","A pé; Embarcación;","CTG, CTS, COC, OYF, CLJ, RAE, PEE,","Entre final da praia grande de Miño a punta Allo; entre a canle de Hervás a punta Curbeiros,","110","De xaneiro a decembro,","Punto de venda do Pedrido, peirao de Miño,"," -Marisqueo a pé: Castelo Souto-Láncara: Souto (CF-086), Cuco (CF-087), Castelo-Pedrido (CF-088), Lombo Espiñeira (CF-089), Porto-Praia Pequena (CF-090), praia das Vacas (CF-091),; -Marisqueo dende embarcación: canle do Mandeo I (CF-092-I), canle do Mandeo II (CF-092-II), canle do Mandeo III (CF-092-III),;","2017016"
"AAUT","C.P. Mugardos","F","A pé;","CTS, CTG, CLJ, COC, VNA, OYF, OYG, PEE,","Punta Promontoiro a rampla do Seixo, punta Redonda a punta Leiras, punta Leiras a punta Promontoiro, Punta Segaño a punta Redonda,","132","De xaneiro a decembro,","Lonxa porto Ratón,","Enseadas da Barca (CF-150), (CF-153), (CF-155), (CF-156), (CF-157),; O Baño (CF-159), (CF-160), (CF-161), (CF-162), (CF-315), (CF-163),; Nande (CF-164), Santa Lucía (CF-165),;","2017017"
"AAUT","C.P. Muros","F","A pé;","COC, CTG, CTS, CLJ, UTL, ULO, KLK,","Praia da Virxe, praia da Abelleira,","65","De abril a setembro,","Anido, praia da Virxe, praia Bornalle, praia Liñares, praia da Abelleira, peirao de Muros, peirao de Esteiro, lonxa de Muros, lonxa de Esteiro,","Praia da Virxe (MN-054), Praia de Abelleira (MN-056), (MN-057), (MN-097), (MN-098),","2017018"
"AAUT","C.P. Muros","F","Embarcación;","CTS, CTG, CLJ, ULO, COC, VEV, VNR, VNA, KLK, DSX,","Praia da Virxe, praia da Abelleira,","70","De xaneiro a abril, decembro,","Lancha de vixilancia da confraría na zona de traballo, peirao de Muros, peirao de Esteiro, lonxa de Muros, lonxa de Esteiro,","Praia da Virxe (MN-055), Praia de Abelleira (MN-061),","2017019"
"AAUT","C.P. Noia","F","A pé; Embarcación;","CTG, CTS, CLJ, COC, ULO, SVE,","Zona de autorización C.P. Noia,","131","De xaneiro a abril, de setembro a decembro,","A pé: San Cosme, Misela, Broña,; Embarcación: bateas en punta Testal, peirao do Freixo,","Enseada de Testal (MN-031), San Cosme (MN-032), Barquiña (MN-033), Pedras-Testal (MN-034), dentro da Barreira (MN-035), Picouso (MN-036), Misela I (MN-037), Misela II (MN-038), Mexilloeira (MN-039), Boa (MN-041), A Seca de Broña (MN-042), Praia de Broña (MN-043), Freixo (MN-045), Taboleiro (MN-046), Portosiavo (MN-047), Praia Testal (MN-084), Escolleira (MN-085), ponte de Ceilán (MN-029), Saíñas-Corveiros (MN-030),","2017020"
"AAUT","C.P. Noia","F","Rastro de vieira ou voandeira;","OYF,","Bancos de ostra de Broña, punta Cabalo Baixo,","40","De xaneiro a abril, de novembro e decembro,","Bateas de control preto de punta Testal, porto do Freixo,","Bancos de ostra de Broña (MN-044), punta Cabalo Baixo (MN-040),","2017021"
"AAUT","C.P. O Barqueiro-Bares","F","A pé;","CTG, CTS, COC, CLJ, OYF, OYG, RAE, PEE,","Zonas de autorización situadas na marxe esquerda da ría do Barqueiro: Salgueira a Pena Ourada; Área da Ponte-punta Cereixeira-punta Preguntoiro, Lama, Area de San Fiz,","OX: 180,; (CTG, CTS, COC, CLJ, OYF,): 95,;","De xaneiro a decembro,","Praia da Lama, cabeceira do peirao de San Fiz, ponte vella, Fabriquín, os dous peiraos do Barqueiro,","Punta da Barra a Peirao de O Barqueiro (CL-100),; Peirao de O Barqueiro a Ponte do Ferrocarril (CL-101), (CL-021),; Ponte do Ferrocarril a Punta Cereixeira (CL-102), (CL-103),; Punta Cereixeira a Punta Preguntoiro (CL-104), (CL-106), (CL-118), CL-119),; Punta Preguntoiro a Punta dos Prados (CL-105), (CL-020),;","2017022"
"AAUT","C.P. Palmeira","F","A pé;","CTG, CLJ, CTS, COC, VNA, VEV, DSX,","Punta Aguiuncho, illote de Grades, pedras Pallares,","156","De xaneiro a decembro,","Praias de Cambra, Insuela, Cruces,","Praias da Cambra (AR-195), de Insuela (AR-196), Cruces (AR-194),","2017023"
"AAUT","C.P. Palmeira","F","Embarcación;","CTS, VNR, CTG, VNA, VEV, COC, DSX,","Punta Aguiuncho, illote de Grades, pedras Pallares,","140","De xaneiro a decembro,","Peirao de Palmeira,","Lombos, Insuela, Pallares, Pirilla,","2017024"
"AAUT","C.P. Pontedeume","F","A pé;","CTG, CLJ, CTS, COC, OYF,","De praia Almieiras a punta Carboeira: A Magdalena, O Fabal, O Oito,","175","De xaneiro a decembro,","Rampla de acceso ao paseo marítimo polos Moteis, rampla nova do carro varadoiro no peirao, lonxa de Pontedeume,","O Fabal (CF-101), Zopazos (CF-102), Croa pequena (CF-103), Croa grande-1 (CF-104-I), Croa grande-2 (CF-104-II), Croa grande-3 (CF-104-III), Peregil-1 (CF-097-I), Peregil-2 (CF-097-II), canle do Barco (CF-098), A Pillada e A Pía (CF-099), Día Oito (CF-168),","2017025"
"AAUT","C.P. Pontedeume","F","Embarcación;","CTG, CLJ, CTS, COC, OYF,","De praia Almieiras a punta Carboeira: A Magdalena, O Fabal, O Oito,","189","De xaneiro a decembro,","Rampla de acceso ao paseo marítimo de Pontedeume, pantalán de embarcacións de 3ª lista, Lonxa de Pontedeume,","A Tasca (CF-093), a Barra (CF-094), canle de Moteis (CF-096), ponte de Pedra (CF-095), Peregil-1 (CF-097-I), Peregil-2, (CF-097-II), canle do Barco (CF-098), A Pillada e A Pía (CF-099), Día Oito (CF-100), Día Oito(CF-100-I),","2017026"
"AAUT","C.P. Rianxo","F","A pé;","CTG, CTS, CLJ, COC, RAE,","De punta Neixón a río Té, de punta da Torre a punta Fincheira, de punta Fincheira a punta Palleiro, de punta Portomouro a punta Bodión, de punta Bodión a punta Leixón,","180","De xaneiro a decembro,","Zona de produción: Bodión, Agüeiros, Ladeira Quinteiro, porto-Beluso, A Torre, peirao Rianxo, Tanxil, As Cunchas, Sertaxes, peirao Leiro,"," -Punta Palleiro a peirao de Leiro: Praia de Ladeira de Leiro (AR-180),; -Peirao de Leiro a punta Seveira: Praia de A Seveira (AR-178), Praia de Pereira Torta (AR-176),; -Praia Lodeira (As Cunchas): As Cunchas (AR-165), Praia de Sertaxe (AR-179),; -Praia do Porrón: Praia do Porrón (AR-350),; -Praia de Tanxil a punta Fincheira: Praia de Tanxil-Quenxo (AR-173), Praia de Tronco (AR-175), Grenla (AR-177),; -Peirao Rianxo a Lóngaras: Peirao de Rianxo (AR-171), Praia de Sete Fogas (AR-172),; -Rinlo: Rinlo-Lóngaras (AR-170),; -Praia da Torre a punta Iñobre: Praia de A Torre (AR-164), Iñobre - Porto (AR-166),; -Punta Iñobre a punta Neixón: Praia da ría de Beluso (AR-181),; Punta Neixón – Area Basta: Praia de Ladeira de Quinteiro (AR-174), Colexios (AR-351),; -Agüeiros ao Bodión: Praia de Agüeiros (AR-182),; -Bodión a punta Portomouro: Praia de Agañán (AR-169), Praia de Bodión (AR-167), O Furado (AR-353),;","2017027"
"AAUT","C.P. Rianxo","F","Embarcación;","CTG, COC, CTS, CLJ,","De Bodión a punta Portomouro, de Bodión a punta Leixón, de Leixón a río Té, de río Té a punta Fincheira, de punta Fincheira a punta Palleiro,","142","De abril a setembro, decembro,","Plataforma de batea en punta Fincheira, no porto de Rianxo,","Praia de Leiro (AR-183), Punta Seveira a punta Sertaxe (AR-184), Praia de punta Ladrón a punta Seveira (AR-185), Praia de punta Fincheira a punta Ladrón (AR-186), Peirao de Rianxo (AR-187), Praia de peirao - Lóngaras (AR-188), Praia de A Torre (AR-189), Punta Iñobre – Punta Neixón (AR-190), Punta Neixón – peirao de Area Basta (AR-191), Peirao de Bodión – praia de punta Capitán (AR-192), Praia de Figueiriñas (AR-193), Praia de Agüeiros (AR-352), O Furado (AR-354),","2017028"
"AAUT","C.P. Ribeira","F","Embarcación;","CTS, VNR, CTG, CLJ, VEV, COC, DSX,","De punta Aguiúncho a Eiró Grande, de Eiró Grande a Carabancelo, de Carabancelo a Redonda Vella, de Redonda Vella a punta Castro,","190","De xaneiro a decembro,","Embarcacións de vixilancia nas zonas de traballo, lonxa de Ribeira,","Coroso: (AR-204), (AR-206), (AR-207),; Castiñeras-Redonda: (AR-197), (AR-198), (AR-199), (AR-200), Insua, Egoas-Touro-Eiro: (AR-201-I), (AR-201-II), (AR-208), (AR-209),;","2017029"
"AAUT","C.P. Ribeira","F","Rastro de vieira ou voandeira;","OYF,","De punta Aguiúncho a Eiró Grande, de Eiró Grande a Carabancelo, de Carabancelo a Redonda Vella, de Redonda Vella a punta Castro,","41","Novembro, decembro,","Embarcacións de vixilancia nas zonas de traballo, lonxa de Ribeira,","Coroso V (AR-203),","2017030"
"AAUT","Ría de Arousa S.C.G.","F","A pé; Embarcación;","CTG, CLJ, CTS, COC,","De punta Portomouro a punta Pedra Rubia,","A pé: 115,; Emb.: 150,;","De xaneiro a decembro,","Fontenla, punta pedra Rubia, Portomouro,"," -para marisqueo a pé: Portomouro (AR-153), (AR-154), Fontenla e punta Pedra Rubia (AR-155), (AR-156), (AR-157), (AR-158), (AR-159), (AR-160), (AR-161),; -para marisqueo dende embarcación: (AR-162), (AR-163),;","2017031"
"AAUT","C.P. A Illa de Arousa","F","A pé;","CTG, CTS, VNA, CLJ, COC, DSX, PEE, RAE, EQK, LPZ,","Zonas de autorización: intermareal de Sapeiras de Terra a punta Quilme, no sentido das agullas do reloxo","160","De xaneiro a decembro,","Sapeira, Riasón, Cantareira, O Bao, Camaxe, Concerrado, Xastelas, Aceñas, lonxa da Illa de Arousa,","Canteira (AR-041), O Bao (AR-046), Camaxe I (AR-048), Xastelas I (AR-047), Arnela I (AR-055), Punta Arnela-Revello (AR-347), Os Espiños (AR-325), Praia do Barco (AR-326), Punta Revello (AR-327), Quilme (AR-345), As Aceñas I (AR-053),","2017032"
"AAUT","C.P. A Illa de Arousa","F","Embarcación;","CTG, CTS, VNR, VNA, CLJ, COC, VEV, DSX,","Zonas de autorización: submareal desde As Sapeiras de terra a punta Quilme, no sentido das agullas do reloxo, Areoso,","119","Xaneiro, De abril a setembro, Decembro,","Areoso, Arnela, Con Cerrado, Bao, lonxa da Illa de Arousa,","Camaxe-Salinas II (AR-049), A Canteira II (AR-050), Arnela (AR-056), Xastelas (AR-059), Areoso (AR-052), Da Arnela a punta Carreirón I (AR-324-I), Da Arnela a punta Carreirón II (AR-324-II), O Bao (AR-058), Aguiúncho (AR-329),","2017033"
"AAUT","C.P. Aldán-O Hio","F","A pé;","CTG, CTS, CLJ, COC, VEV, LPZ, PEE, DSX,","De punta Alada a punta Preguntoiro, cara ao interior da ría de Aldán","66, L: 36, Cm: 48,","De xaneiro a abril, de xuño a decembro,; L: xaneiro, febreiro, de maio a setembro, decembro,; Cm: de xaneiro a decembro,;","Praia de San Cibrao, lonxa de Aldán,"," -Banco de San Cibrán: Praia de San Cibrán (PO-142), Parque de cultivo San Cibrán (PO-143),; -Banco de Vilariño: Río Esteiro (PO-139), Vilariño I (PO-140), Vilariño II (PO-141),; -Bancos de lapa e caramuxo: Punta Alada (PO-175), Punta testada (PO-176), Pena rubia e Cova Balea (PO-177),","2017034"
"AAUT","C.P. Baiona","F","A pé;","CTG, CTS, CLJ, COC, DSX, PEE, VEV,","Foz do río Miñor, praia Ladeira, praia do Burgo, praia de Santa Marta, paseo da Lonxa, praia Ribeira, praia Barbeira,","130","De xaneiro a decembro,","Rampla de Ruiz, rampla da chabola, peirao de Santa Marta, lonxa de Baiona,","Boca da Foz (VI-105), Foz do Miñor (zona C) (VI-104), Paseo da Lonxa-1 (VI-103-I), Paseo da Lonxa-2 (VI-103-II), Paseo da Lonxa-Ribeiriña (VI-103-III), Santa Marta (VI-102), Ribeira (VI-101), Barbeira (VI-100),","2017035"
"AAUT","C.P. Baiona","F","Embarcación;","VNR, CTS, ULO, VEV, CTG, VNA, DSX, CLJ, COC,","Autorización administrativa,","70","De xaneiro a decembro,","Embarcación de vixilancia da confraría, lonxa de Baiona,","Autorización administrativa (zonas marítimas)","2017036"
"AAUT","C.P. Cambados","F","A pé;","CTG, CLJ, CTS, VNA, COC, EQK, RAE, PEE, LPZ, OYF, DSX,","Zona intermareal de punta Tragove a Rego do Alcalde, co saco de Fefiñáns; De ponte Castrelo a punta Borrelo,; De o peirao de Cambados ao límite da explotación da confraría do Grove,","180","De xaneiro a decembro,","Ribeira de Mouta, Lonxa de Tragove,"," O Sarrido (AR-011), Fefiñáns (AR-012), Pantalán (AR-013), Tubos (AR-014), Saco de Fefiñáns (AR-015), Dende Rego do Alcalde ata punta Tragove (AR-217),","2017037"
"AAUT","C.P. Cambados","F","Embarcación;","CTS, CTG, VNR, VNA, CLJ, COC, VEV, DSX,","De Rego do Alcalde a punta Tragove, de punta Borrón e peirao de Cambados a punta Borrelo,","50","Xaneiro, De abril a xuño, Decembro,","Embarcación de vixilancia na zona de traballo, batea de Tragrove, lonxa de Tragove,","De Tragove ata punta Borrelo (AR-017), Monzón (AR-019), De Rego do Alcalde ata punta Tragove (AR-216),","2017038"
"AAUT","C.P. Carril","F","Embarcación;","CTG, CTS, CLJ, COC, VNA,","A Fangueira,","50","De xaneiro a decembro,","Zona de produción,","A Fangueira (AR-37)","2017039"
"AAUT","C.P. Carril","F","A pé;","COC, CTS, CLJ, CTG,","Zona de autorización: A Fangueira,","60","De xaneiro a decembro,","Zona de produción,","A Fangueira (AR-069)","2017040"
"AAUT","C.P. O Grove","F","A pé;","CTG, CLJ, CTS, VNA, COC, VEV, DSX, PEE, LPZ, BOY, FNT,","Zonas de autorización C.P. O Grove,","180","De xaneiro a decembro,","En Castrelo: O Facho, lonxa do Grove, vehículo de vixilancia en zonas de traballo,"," -Zona de marisqueo a pé de O Grove: (GAL 09/09) Meloxo (AR-092), Praia de Lavaxeira (AR-091), Ens. de Moreiras (AR-090),; (GAL 09/01) Con Roibo (AR-093), Rons (AR-094),; (GAL 09/08) Ens. Terra do Porto (AR-095), Lordelo-Cubreiro (AR-1059, Vía Norte (AR-096), Illeiriña (AR-061), Carreirón (AR-258), San Bastián (AR-107), Pta. Cabreira (AR-077), Piscina (AR-108), Hotel (AR-109), Loraña-Sinal (AR-110), Tourís de Dentro (AR-060), Vía Sur-ponte (AR-106), Vía Sur-San Marcos (AR-106-1), Vía Sur-Redondo (AR-106-2), Vía Sur-Porca Morta (AR-106-3),; -Zona a pé de Vilalonga: (GAL 09/08) A Fianteira (AR-113), Arnosa (AR-114), Peralto-A Cruz (AR-115), Illote de Tourís (AR-116), Illote de Marma (Banda da Canlle) (AR-117),; -Zona de a pé de Castrelo: (GAL 09/08) Correlo (AR-103), Casa da Toxa (AR-104), A Pedra (AR-102), Rego do Sol (AR-101), Illote de Beiró (AR-100), Praia de Saiñas (AR-099), Insuiña (AR-098), O Ganchiño (AR-097),","2017041"
"AAUT","C.P. O Grove","F","Embarcación;","CTG, CTS, VNA, CLJ, VNR, COC, VEV, DSX, BOY, FNT,","Zonas de autorización C.P. O Grove,","150","De xaneiro a decembro,","Lonxa do Grove, caseta de control de Castrelo, (O Facho); a embarcación de vixilancia,"," Cantareira (AR-076), Punta Cabreira (AR-077), Casa da Toxa (AR-078), Canal da Toxa (AR-079), Lombo do Hotel (AR-080), Lombo do Medio ou dos Veleros (AR-081), Lombo das Ostras (AR-082), Beiró-Rego do Sol (AR-083), Lombo de Insuíña (AR-084), Canal de Tourís (zona marítima),","2017042"
"AAUT","C.P. Vilanova","F","A pé;","CTG, CTS, CLJ, VNA, COC, DSX,","De regato Aduana a Rego do Alcalde,","175","De xaneiro a decembro,","As Sinas: Con do Caramuxo, Con Grande,; Esteiro de Vilamaior: pasarela do esteiro no lado do Terrón, rampla do Esteiro (polideportivo), rampla do Esteiro (fábrica de La Fuente),; As Carballas: praia Nova, praia do Barro,; Castelete: Con do Castelete,; Lonxa de Vilanova,;"," -(GAL 09/06): As Sinas-1 (AR-004-I),; -(GAL 09/10): As Sinas-2 (AR-004-II), Carballas-O Bote (AR-007), Castelete (AR-006),; -(GAL 09/02-1): Esteiro de Vilamaior (AR-005-I),; -(GAL 09/02-2): Esteiro de Vilamaior (AR-005-II),","2017043"
"AAUT","C.P. Vilanova","F","Embarcación;","CTG, CTS, CLJ, VNR, VNA, COC, VEV, DSX,","Esteiro de Vilamaior, A Corbala, de punta Basella á Corbala, de punta Basella a punta Sinas, de río Aduana a punta Sinas,","80","Xaneiro, de abril a setembro, Decembro,","Embarcación de vixilancia no Lombo das Sinas, pantalán do peirao, lonxa de Vilanova,","As Sinas 3 (AR-009-I), As Sinas 4 (AR-009-II), Con Grande (AR-010), Ariño (AR-X11),","2017044"
"AAUT","C.P. Vilaxoán","F","A pé;","CTG, CTS, CLJ, VNA, COC, EQK, RAE, PEE,","De punta Ferrazo a Regato Aduana,","175","De xaneiro a decembro,","Praia de Canelas, lonxa de Vilaxoán, praia de Preguntoiro, praia de Saíñas, esteiro do Rial, praia de Borreiros, praia de Corón,"," -(GAL 09/06): Borreiros (AR-020), Corón (AR-021), Rial estacas (AR-022), Rial parques (AR-023), Saiñas (AR-024), Preguntoiro (AR-025), Canelas (AR-026), Castelete (AR-027),","2017045"
"BESP","A.M. San Cosme de Barreiros-Foz","F","A pé;","CTG, COC, RAE, PEE, LPZ,","Bancos de Fondás,Taro e Fontorto","105","De xaneiro a decembro","Fondás, Fontorto e O Taro,","Banco de Fondás (CL-163), Banco de O Taro (CL-167), Banco de Fontorto (CL-170 ),","2017046"
