tipoCode,entidad,conxunto,modalidade,especiesPlan,zonaTraballo,diasMax,epocaTraballo,puntosControl,BMSigremar,id_plan_explotacion
AAUT,C.P. Espasante,F,A pé;,"CTG, CTS, CLJ, COC, RAE, PEE, LPZ, OYF, OYG,","Dende o sur peirao de Ortigueira - punta do Pinar - punta Pedrouselo,; peirao de Ortigueira - punta Mouras - punta Canteira - punta Cabalar - praia San Martín,; entre peirao de Ortigueira - punta Gándara - a enseada de Ladrido,; entre Pena de Foz - Pena de San Pedro,;",150,"De xaneiro a decembro,","Peirao de Ortigueira, Peirao de Ladrido, Cano de Cabalar, Lagarea,","Praia Cabalar (CL-029), Cano Cabalar (CL-030), Mexilloal (CL-031), Raias I (CL-032), Raias II (CL-033), Raias III (CL-034), Senra (CL-036), Cano Central (CL-037), Cano Cabalar (LV) (CL-038), Lagarea (CL-090), Ladrido (CL-092),",2018013
AAUT,"C.P. Ferrol, C.P. Barallobre, (plan conxunto)",T,A pé; Embarcación;,"CTS, CTG, CLJ, COC, VEV, DSX, OYF,","Autorización das Pías: Pías interna (entre liña imaxinaria que une o extremo oeste co extremo leste da ponte das Pías cara ao interior da ría, agás a enseada da Gándara), Pías externa (entre liña imaxinaria que une o extremo oeste co extremo leste da ponte das Pías e liña imaxinaria que une o extremo leste da ponte das Pías coa punta O Montón),; Cabana-Malata, Liña imaxinaria que une o extremo leste da ponte de As Pías coa punta O Montón, a liña imaxinaria que une a punta do Montón coa punta das Pías,;",180,"De xaneiro a decembro,","Embarcación de vixilancia nas zonas de extracción, lonxa de Ferrol, lonxa de Barallobre,","Autorización das Pías (CF-143), (CF-144), (CF-145),: ( -As Pías interna, delimitada entre a liña imaxinaria que une o extremo oeste co extremo leste da ponte das Pías cara ao interior da ría, agás a enseada da Gándara (GAL 03/08-2), -As Pías externa, delimitada entre a liña imaxinaria que une o extremo oeste co extremo leste da ponte das Pías e a liña imaxinaria que une o extremo leste da ponte de As Pías coa punta de O Montón (GAL 03/08-1),); Autorización enseada Cabana-A Malata (CF-136), (Clasificación microbiolóxica C estable); Zona de libre marisqueo, delimitada entre a liña imaxinaria que une o extremo leste da ponte de As Pías coa punta de O Montón e a liña imaxinaria que une a punta do Montón con punta das Pías (GAL 03/08-1);",2018014
AAUT,C.P. Ferrol,F,A pé;,"CTG, CTS, CLJ, COC, OYF, EQK,","San Felipe, enseada de Cabana-A Malata, praia de Caranza-Montón, O Couto (de punta Cornida á ponte da autoestrada, entre e o banco de As Pías e a liña de costa), praia da Graña, entre a cetaria de San Felipe e punta Vispón e enseada de Laxe, entre punta das Vellas e o castelo de san Felipe,;",180,"De xaneiro a decembro,","Zona de extracción, lonxa de Ferrol,","San Felipe (CF-112), enseada de Cabana-Malata (CF-113), praia de Caranza-Montón, O Couto (de punta Cornida á ponte da autorestrada, entre o banco de As Pías e a liña de costa), praia da Graña, entre a cetaria de San Felipe e punta Vispón e enseada de Laxe entre punta das Vellas e o castelo de san Felipe);",2018015
AAUT,C.P. Miño,F,A pé; Embarcación;,"CTG, CTS, COC, OYF, CLJ, RAE, PEE,","Entre final da praia grande de Miño e punta Allo, entre a canle de Hervás e punta Curbeiros,",110,"De xaneiro a decembro,","Punto de venda do Pedrido, peirao de Miño,","Marisqueo a pé: Castelo Souto-Láncara: Souto (CF-086), Cuco (CF-087), Castelo-Pedrido (CF-088), Lombo Espiñeira (CF-089), Porto-Praia Pequena (CF-090), praia das Vacas (CF-091),; Marisqueo dende embarcación: canle do Mandeo I (CF-092-I), canle do Mandeo II (CF-092-II), canle do Mandeo III (CF-092-III),;",2018016
AAUT,C.P. Mugardos,F,A pé;,"CTS, CTG, CLJ, COC, VNA, OYF, OYG, PEE,","Punta Promontoiro-Rampa do Seixo, punta Redonda-punta Leiras, punta Leiras-punta Promontoiro, Torres San Martín-punta Redonda,",132,"De xaneiro a decembro,","Lonxa porto Ratón,","Enseadas da Barca: (CF-150), (CF-153), (CF-155), (CF-156), (CF-157),; O Baño: (CF-159), (CF-160), (CF-161), (CF-162), (CF-315), (CF-163),; Nande (CF-164), Santa Lucía (CF-165), parque denominado Beiramar,;",2018017
AAUT,C.P. Muros,F,A pé;,"COC, CTG, CTS, CLJ, UTL, ULO, KLK,","Praia da Virxe, praia da Abelleira,",65,"De abril a setembro,","Anido, Virxe, (na praia da Virxe e Bornalle), Liñares na praia da Abelleira, peirao de Muros, peirao de Esteiro, lonxa de Muros, lonxa de Esteiro,","Praia da Virxe (MN-054), Praia de Abelleira: (MN-056), (MN-057), (MN-097), (MN-098),;",2018018
AAUT,C.P. Muros,F,Embarcación;,"CTS, CTG, CLJ, ULO, COC, VEV, VNR, VNA, KLK, DSX,","Praia da Virxe, praia da Abelleira,",70,"De xaneiro a abril, decembro,","Lancha de vixilancia da C.P. Muros na zona de traballo, peirao de Muros, peirao de Esteiro, lonxa de Muros, lonxa de Esteiro,","Praia da Virxe (MN-055), Praia de Abelleira (MN-061),",2018019
AAUT,C.P. Noia,F,A pé; Embarcación;,"CTG, CTS, CLJ, COC, ULO, SVE, VNA,","Zona de autorización C.P. Noia,",131,"De xaneiro a abril, de setembro a decembro,","A pé: San Cosme, Misela e Broña,; Embarcación: bateas en punta Testal, peirao do Freixo, lonxas de Testal, O Freixo,","Enseada de Testal (MN-031), San Cosme (MN-032), Barquiña (MN-033), Pedras-Testal (MN-034), dentro da Barreira (MN-035), Picouso (MN-036), Misela I (MN-037), Misela II (MN-038), Mexilloeira (MN-039), Boa (MN-041), A Seca de Broña (MN-042), Praia de Broña (MN-043), Freixo (MN-045), Taboleiro (MN-046), Portosiavo (MN-047), Praia Testal (MN-084), Escolleira (MN-085), ponte de Ceilán (MN-029), Saíñas-Corveiros (MN-030),",2018020
AAUT,C.P. Noia,F,Rastro de vieira ou volandeira;,"OYF,","Bancos de ostra de Broña, punta Cabalo Baixo,",40,"De xaneiro a abril, novembro, decembro,","Bateas de control preto de punta Testal, Bateas de control preto de porto do Freixo, lonxa de Freixo, lonxa de Testal,","Bancos de ostra de Broña (MN-44), punta Cabalo Baixo (MN-40),",2018021
AAUT,C.P. O Barqueiro-Bares,F,A pé;,"CTG, CTS, COC, CLJ, OYF, OYG, RAE, PEE,","Zonas de autorización situadas na marxe esquerda da ría do Barqueiro: Salgueira-Pena Ourada; Area da Ponte-punta Cereixeira-punta Preguntoiro, Lama, Area de San Fiz;","OYG,: 180,; Resto: 95,;","De xaneiro a decembro,","Praia da Lama; cabeceira do peirao de San Fiz, ponte vella, Fabriquín, os dous peiraos do Barqueiro,","Punta da Barra a Peirao de O Barqueiro (CL-100), (-zona C estable- GAL01/09-1); Peirao de O Barqueiro a Ponte do Ferrocarril (CL-101), (CL-021),; Ponte do Ferrocarril a Punta Cereixeira (CL-102), (CL-103),; Punta Cereixeira a Punta Preguntoiro (CL-104), (CL-106), (CL-118), (CL-119),; Punta Preguntoiro a Punta dos Prados (CL-105), (CL-020),;",2018022
AAUT,C.P. Palmeira,F,A pé;,"CTG, CLJ, CTS, COC, VNA, VEV, DSX,","Punta Aguiúncho, illote de Grades, pedras Pallares,",156,"De xaneiro a decembro,","Praias de Cambra, Insuela, Cruces,","Praias da Cambra (AR-195), de Insuela (AR-196), Cruces (AR-194),",2018023
AAUT,C.P. Palmeira,F,Embarcación;,"CTS, VNR, CTG, VNA, VEV, COC, DSX, CLJ,","Punta Aguiúncho, illote de Grades, pedras Pallares,",140,"De xaneiro a decembro,","Peirao de Palmeira,","Lombos, Insuela (AR-062), Pallares, Pirilla,",2018024
AAUT,C.P. Pontedeume,F,A pé;,"CTG, CLJ, CTS, COC, OYF,","Entre praia Almieiras e punta Carboeira,: A Magdalena, O Fabal, O Oito,",175,"De xaneiro a decembro,","Rampla de acceso ao paseo marítmo polos Moteis, rampla nova do carro varadoiro no peirao de Pontedeume, lonxa de Pontedeume,","O Fabal (CF-101), Zopazos (CF-102), Croa pequena (CF-103), Croa grande-1 (CF-104-I), Croa grande-2 (CF-104-II), Croa grande-3 (CF-104-III), Peregil-1 (CF-097-I), Peregil-2 (CF-097-II), canle do Barco (CF-098), A Pillada e A Pía (CF-099) e Día Oito (CF-168),",2018025
AAUT,C.P. Pontedeume,F,Embarcación;,"CTG, CLJ, CTS, COC, OYF,","Entre praia Almieiras e punta Carboeira,: A Magdalena, O Fabal, O Oito,",190,"De xaneiro a decembro,","Rampa de acceso ao paseo marítimo de Pontedeume, pantalán de embarcacións de 3ª lista, Lonxa de Pontedeume,","A Tasca (CF-093), a Barra (CF-094), canle de Moteis (CF-096), ponte de Pedra (CF-095), Peregil-1 (CF-097-I), Peregil-2, (CF-097-II), canle do Barco (CF-098), A Pillada e A Pía (CF-099), Día Oito (CF-100), Día Oito (CF-100-I),",2018026
AAUT,C.P. Rianxo,F,A pé;,"CTG, CTS, CLJ, COC, RAE,","De punta Neixón a río Té, de punta da Torre a punta Fincheira, de punta Fincheira a punta Palleiro, de punta Portomouro a punta Bodión, de punta Bodión a punta Leixón,",185,"De xaneiro a decembro,","Zona de produción: Bodión, Agüeiros, Ladeira Quinteiro, porto-Beluso, A Torre, peirao Rianxo, Tanxil, As Cunchas, Sertaxes, peirao Leiro,","Punta Palleiro a peirao de Leiro: Praia de Ladeira de Leiro (AR-180),; Peirao de Leiro a punta Seveira: Praia de A Seveira (AR-178), Praia de Pereira Torta (AR-176),; Praia Lodeira (As Cunchas): As Cunchas (AR-165), Praia de Sertaxe (AR-179),; Praia do Porrón: Praia do Porrón (AR-350),; Praia de Tanxil a punta Fincheira: Praia de Tanxil-Quenxo (AR-173), Praia de Tronco (AR-175), Grenla (AR-177),; Peirao Rianxo a Lóngaras: Peirao de Rianxo (AR-171), Praia de Sete Fogas (AR-172),; Rinlo: Rinlo-Lóngaras (AR-170),; Praia da Torre a punta Iñobre: Praia de A Torre (AR-164), Iñobre - Porto (AR-166),; Punta Iñobre a punta Neixón: Praia da ría de Beluso (AR-181),; Punta Neixón – Area Basta: Praia de Ladeira de Quinteiro (AR-174), Colexios (AR-351),; Agüeiros ao Bodión: Praia de Agüeiros (AR-182),; Bodión a punta Portomouro:  Praia de Agañán (AR-169), Praia de Bodión (AR-167), O Furado (AR-353),;'",2018027
AAUT,C.P. Rianxo,F,Embarcación;,"CTG, COC, CTS, CLJ,","De Bodión a punta Portomouro, de Bodión a punta Leixón, de Leixón a río Té, de río Té a punta Fincheira, de punta Fincheira a punta Palleiro,",143,"De abril a setembro, decembro,","Plataforma de batea en punta Fincheira, porto de Rianxo,","Praia de Leiro (AR-183), Punta Seveira a punta Sertaxe (AR-184), Praia de punta Ladrón a punta Seveira (AR-185), Praia de punta Fincheira a punta Ladrón (AR-186), Peirao de Rianxo (AR-187), Praia de peirao - Lóngaras (AR-188), Praia de A Torre (AR-189), Punta Iñobre – Punta Neixón (AR-190), Punta Neixón – peirao de Area Basta (AR-191), Peirao de Bodión – praia de punta Capitán (AR-192), Praia de Figueiriñas (AR-193), Praia de Agüeiros (AR-352), O Furado (AR-354),",2018028
AAUT,C.P. Ribeira,F,Embarcación;,"CTS, VNR, CTG, CLJ, VEV, COC, DSX,","De punta Aguiúncho a Eiró Grande, de Eiró Grande a Carabancelo, de Carabancelo a Redonda Vella, de Redonda Vella a punta Castro,",190,"De xaneiro a decembro,","Embarcacións de vixilancia nas zonas de traballo, vendeduría da confraría na lonxa de Ribeira,","Coroso: (AR-204), (AR-206), (AR-207),; Castiñeras-Redonda (AR-197), (AR-198), (AR-199), (AR-200),; Insua, Egoas-Touro-Eiro: (AR-201-I), (AR-201-II), (AR-208), (AR-209),;",2018029
AAUT,C.P. Ribeira,F,Rastro de vieira ou volandeira;,"OYF,","De punta Aguiúncho a Eiró Grande, de Eiró Grande a Carabancelo, de Carabancelo a Redonda Vella, de Redonda Vella a punta Castro,",30,"Novembro, decembro,","Embarcacións de vixilancia nas zonas de traballo, vendeduría da confraría na lonxa de Ribeira,","Coroso V (AR-203),",2018030
AAUT,C.P. Sada,F,A pé;,"CTG, CTS, CLJ, COC,","Zona de autorización: praia de Sada,",108,"Xaneiro, de maio a decembro,","Praia de Sada,","Praia de Sada (CF-080),",2018031
AAUT,"Ria de Arousa, S.C.G.",F,A pé; Embarcación;,"CTG, CLJ, CTS, COC,","De punta Portomouro a punta Pedra Rubia,","A pé: 120,; Emb: 150,;","De xaneiro a decembro,","Fontenla, punta pedra Rubia, Portomouro,"," -Marisqueo a pé: Portomouro: (AR-153), (AR-154),; Fontenla e punta Pedra Rubia: (AR-155), (AR-156), (AR-157), (AR-158), (AR-159), (AR-160) (AR-161),; -Marisqueo dende embarcación: (AR-162), (AR-163),;",2018032
AAUT,C.P. A Illa de Arousa,F,A pé;,"CTG, CTS, VNA, CLJ, COC, DSX, PEE, RAE, EQK, LPZ,","Zonas de autorización: intermareal de Sapeiras de Terra ata punta Quilme, (no sentido das agullas do reloxo)",160,"De xaneiro a decembro,","Sapeira, Riasón, Cantareira, O Bao, Camaxe, Concerrado, Xastelas, Aceñas, lonxa da Illa de Arousa,","Canteira (AR-041), O Bao (AR-046), Camaxe I (AR-048), Xastelas I (AR-047), Arnela I (AR-055), Punta Arnela-Revello (AR-347), Os Espiños (AR-325), Praia do Barco (AR-326), Punta Revello (AR-327), Quilme (AR-345), As Aceñas I (AR-053),",2018033
AAUT,C.P. A Illa de Arousa,F,Embarcación;,"CTG, CTS, VNR, VNA, CLJ, COC, VEV, DSX,","Zonas de autorización: submareal desde As Sapeiras de terra ata punta Quilme, (no sentido das agullas do reloxo),; Areoso,",119,"Xaneiro, de abril a setembro, decembro,","Areoso, Arnela, Concerrado, Bao, lonxa da Illa de Arousa,","Camaxe-Salinas II (AR-049), A Canteira II (AR-050), Arnela (AR-056), Xastelas (AR-059), Areoso (AR-052), Da Arnela a punta Carreirón I (AR-324-I), Da Arnela a punta Carreirón II (AR-324-II), O Bao (AR-058), Aguiúncho (AR-329),",2018034
AAUT,C.P. Aldán-O Hio,F,A pé;,"CTG, CTS, CLJ, COC, VEV, LPZ, PEE, DSX,","Entre punta Alada e punta Preguntoiro, (cara ao interior da ría de Aldán);","66,; L: 36,; Cm: 48,;","De xaneiro a abril, de xuño a decembro,; L: xaneiro, febreiro, de maio a decembro,; Cm: de xaneiro a decembro,;","Praia de San Cibrán, lonxa de Aldán,","Banco de San Cibrán: Praia de San Cibrán (PO-142), Parque de cultivo San Cibrán (PO-143),; Banco de Vilariño: Río Esteiro (PO-139), Vilariño I (PO-140), Vilariño II (PO-141),; Bancos de lapa e caramuxo: Punta Alada (PO-175), Punta testada (PO-176), Pena rubia e Cova Balea (PO-177),;",2018035
AAUT,C.P. Baiona,F,A pé;,"CTG, CTS, CLJ, COC, DSX, PEE, VEV,","Foz do río Miñor, praia Ladeira, praia do Burgo, praia de Santa Marta, paseo da lonxa, praia Ribeira, praia Barbeira,",130,"De xaneiro a decembro,","Rampa de Ruíz, rampa da chabola, peirao de Santa Marta, lonxa de Baiona,","GAL 11/07: Boca da Foz (VI-105), Foz do Miñor (zona C) (VI-104), Paseo da Lonxa-1 (VI-103-I), Paseo da Lonxa-2 (VI-103-II), Paseo da Lonxa-Ribeiriña (VI-103-III), Santa Marta (VI-102), Ribeira (VI-101), Barbeira (VI-100),",2018036
AAUT,C.P. Baiona,F,Embarcación;,"VNR, CTS, ULO, VEV, CTG, VNA, DSX, CLJ, COC,","Autorización administrativa C.P. Baiona,",70,De xaneiro a decembro;,"Embarcación de vixilancia da confraría, lonxa de Baiona,","Autorización administrativa (zonas marítimas),",2018037
AAUT,C.P. Cambados,F,A pé;,"CTG, CLJ, CTS, VNA, COC, EQK, RAE, PEE, LPZ, OYF, DSX,","Zona intermareal entre punta Tragove e Rego do Alcalde, co saco de Fefiñáns,; Entre ponte Castrelo e punta Borrelo,; Entre o peirao de Cambados e o límite da explotación da confraría do Grove,;",180,"De xaneiro a decembro,","Ribeira de Mouta, lonxa de Tragove,","O Sarrido (AR-011), Fefiñáns (AR-012), Pantalán (AR-013), Tubos (AR-014), Saco de Fefiñáns (AR-015), Dende Rego do Alcalde ata punta Tragove (AR-217),",2018038
AAUT,C.P. Cambados,F,Embarcación;,"CTS, CTG, VNR, VNA, CLJ, COC, VEV, DSX, GKL,","De Rego do Alcalde a punta Tragove, de punta Borrón e peirao de Cambados ata punta Borrelo,",50,"Xaneiro, de abril a xuño, decembro,","Embarcación de vixilancia na zona de traballo, batea de Tragove, lonxa de Tragove,","De Tragove ata punta Borrelo (AR-017), De Rego do Alcalde ata punta Tragove (AR-216), Monzón (AR-019),",2018039
AAUT,C.P. Carril,F,Embarcación;,"CTG, CTS, CLJ, COC, VNA,","A Fangueira,",50,"De xaneiro a decembro,","Zona de produción A Fangueira,","A Fangueira (AR-37),",2018040
AAUT,C.P. Carril,F,A pé;,"COC, CTS, CLJ, CTG,","Zona de autorización A Fangueira,",60,"De xaneiro a decembro,","Zona de produción A Fangueira,","A Fangueira (AR-069),",2018041
AAUT,C.P. O Grove,F,A pé;,"CTG, CLJ, CTS, VNA, COC, VEV, DSX, PEE, LPZ, BOY, FNT,","Zonas de autorización C.P. O Grove,",180,"De xaneiro a decembro,","En Castrelo: O Facho, lonxa do Grove, vehículo de vixilancia en zonas de traballo,","Zona de marisqueo a pé de O Grove: GAL 09/09: Meloxo (AR-092), Praia de Lavaxeira (AR-091), Ens. de Moreiras (AR-090),; GAL 09/01: Con Roibo (AR-093), Rons (AR-094),; GAL 09/08: Ens. Terra do Porto (AR-095), Lordelo-Cubreiro (AR-105), Vía Norte (AR-096), Illeiriña (AR-061), Carreirón (AR-258), San Bastián (AR-107), Pta. Cabreira (AR-077), Piscina (AR-108), Hotel (AR-109), Loraña-Sinal (AR-110), Tourís de Dentro (AR-060), Vía Sur-ponte (AR-106-), Vía Sur-San Marcos (AR-106-1), Vía Sur-Redondo (AR-106-2), Vía Sur-Porca Morta (AR-106-3),; Zona a pé de Vilalonga: GAL 09/08: A Fianteira (AR-113), Arnosa (AR-114), Peralto-A Cruz (AR-115), Illote de Tourís (AR-116), Illote de Marma (Banda da Canlle) (AR-117),; Zona de a pé de Castrelo: GAL 09/08: Correlo (AR-103), Casa da Toxa (AR-104), A Pedra (AR-102), Rego do Sol (AR-101), Illote de Beiró (AR-100), Praia de Saiñas (AR-099), Insuiña (AR-098), O Ganchiño (AR-097),; GAL 09/10: Correlo-2 (AR-103II),;",2018042
AAUT,C.P. O Grove,F,Embarcación;,"CTG, CTS, VNA, CLJ, VNR, COC, VEV, DSX, BOY, FNT,","Zonas de autorización C.P. O Grove,",150,"De xaneiro a decembro,","Lonxa do Grove, ponte da Toxa, caseta de control de Castrelo (O Facho), embarcación de vixilancia,","GAL 09/08: Cantareira (AR-076), Punta Cabreira (AR-077), Casa da Toxa (AR-078), Canal da Toxa (AR-079), Lombo do Hotel (AR-080), Lombo do Medio ou dos Veleros (AR-081), Lombo das Ostras (AR-082), Beiró-Rego do Sol (AR-083), Lombo de Insuíña (AR-084), Canal de Tourís (zona marítima),",2018043
AAUT,C.P. Vilanova,F,A pé;,"CTG, CTS, CLJ, VNA, COC,","De regato Aduana a rego do Alcalde,",185,"De xaneiro a decembro,","As Sinas: Con do Caramuxo, Con Grande,; Esteiro de Vilamaior: pasarela do esteiro no lado do Terrón, rampa do Esteiro (polideportivo), rampa do Esteiro (fábrica de La Fuente),; As Carballas: praia Nova, praia do Barro,; Castelete: Con do Castelete,; Lonxa de Vilanova,;","GAL 09/06: As Sinas-1 (AR-004-I),; GAL 09/10: As Sinas-2 (AR-004-II), Carballas-O Bote (AR-007), Castelete-O Rego (AR-006),; GAL 09/02-1: Esteiro de Vilamaior (AR-005-I),; GAL 09/02-2: Esteiro de Vilamaior (AR-005-II),;",2018044
AAUT,C.P. Vilanova,F,Embarcación;,"CTG, CTS, CLJ, VNR, VNA, COC, VEV, DSX,","Esteiro de Vilamaior, A Corbala, de punta Basella á Corbala, de punta Basella a punta Sinas, de río Aduana a punta Sinas,",80,"Xaneiro, de abril a setembro, decembro,","Embarcación de vixilancia no Lombo das Sinas,","As Sinas 3 (AR-009-I), As Sinas 4 (AR-009-II), Con Grande (AR-010), Ariño (AR-X11),",2018045
AAUT,C.P. Vilaxoán,F,A pé;,"CTG, CTS, CLJ, VNA, COC, EQK, RAE, PEE,","De punta Ferrazo a regato Aduana,",175,"De xaneiro a decembro,","Praia de Canelas, lonxa de Vilaxoán, praia de Preguntoiro, praia de Saíñas, esteiro do Rial, praia de Borreiros, praia de Corón,","GAL 09/06: Borreiros (AR-020), Corón (AR-021), Rial estacas (AR-022), Rial parques (AR-023), Saiñas (AR-024), Preguntoiro (AR-025), Canelas (AR-026), Castelete (AR-027),",2018046
BESP,A.M. San Cosme de Barreiros-Foz,F,A pé;,"CTG, COC, RAE, PEE, LPZ, OYG,","Fondás, Taro, Fontorto,",150,"CTG, COC, RAE,: de abril a decembro,; PEE, LPZ, OYG,: de xaneiro a decembro,;","Fondás, Fontorto, Astillero, O Taro,","Banco de Fondás (CL-163), Banco de O Taro (CL-167), Banco de Fontorto (CL-170),",2018047
